geracao,melhor,media,taxa_mutacao
0,0.9600839448017634,0.9522174405796054,0.2
1,0.9600839448017634,0.9522174405796054,0.1892857142857143
2,0.9600839448017634,0.9574617767277107,0.17857142857142858
3,0.9600839448017634,0.9583389527300472,0.16785714285714287
4,0.9600839448017634,0.9565892806918527,0.15714285714285714
5,0.9600839448017634,0.9579941988137156,0.14642857142857144
6,0.9653646310899198,0.9565132410564072,0.13571428571428573
7,0.9827263942990005,0.960607605555175,0.125
8,0.9827263942990005,0.9622677966588524,0.11428571428571428
9,0.9827263942990005,0.9619949465936365,0.10357142857142856
10,0.9827263942990005,0.9736694145001057,0.09285714285714285
11,0.9947162022703817,0.9813256740622537,0.08214285714285714
12,0.9947162022703817,0.9811239346226449,0.07142857142857142
13,0.9947162022703817,0.984054528293214,0.06071428571428569
14,0.9947162022703817,0.9905197694803984,0.04999999999999999
