experimento,pop,geracoes,mutacao,accuracy,precision,recall,f1
Original (baseline),,,,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
Otimizado RF Experimento 1,20.0,20.0,0.1,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
Otimizado RF Experimento 2,40.0,20.0,0.1,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
Otimizado RF Experimento 3,20.0,20.0,0.4,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
Otimizado RF Experimento 4,30.0,35.0,0.2,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
