geracao,melhor,media,taxa_mutacao
0,0.9479114452798664,0.9272709811624701,0.2
1,0.9479114452798664,0.930268065998329,0.2
2,0.9479114452798664,0.9328091757170702,0.2
3,0.9479114452798664,0.9406236627081066,0.2
4,0.9479114452798664,0.9426470342522973,0.2
5,0.9479114452798664,0.9397319617609424,0.2
6,0.9479114452798664,0.9406239557226399,0.2
7,0.9479114452798664,0.9382501797743303,0.2
8,0.9479114452798664,0.9347256151576605,0.2
9,0.9479114452798664,0.9362216962535085,0.2
10,0.9479114452798664,0.9386052138080785,0.2
11,0.9479114452798664,0.9391325042564216,0.2
12,0.9479114452798664,0.9403603104984685,0.2
13,0.9479114452798664,0.9339447141059398,0.2
14,0.9479114452798664,0.9371094257267641,0.2
15,0.9479114452798664,0.9383464912280701,0.2
16,0.9479114452798664,0.9426421116081345,0.2
17,0.9479114452798664,0.9444018379281539,0.2
18,0.9479114452798664,0.9435244360902258,0.2
19,0.9479114452798664,0.942383389028126,0.2
