experimento,pop,geracoes,mutacao,accuracy,precision,recall,f1
Original (baseline),,,,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747
Otimizado LOG Experimento 1,20.0,15.0,0.1,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
Otimizado LOG Experimento 2,40.0,15.0,0.1,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471
Otimizado LOG Experimento 3,20.0,15.0,0.4,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156
Otimizado LOG Experimento 4,30.0,30.0,0.2,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
