experimento,pop,geracoes,mutacao,accuracy,precision,recall,f1
Original (baseline),,,,0.9649122807017544,1.0,0.9047619047619048,0.95
Otimizado RL Experimento 1,10.0,15.0,0.1,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
Otimizado RL Experimento 2,30.0,15.0,0.1,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
Otimizado RL Experimento 3,10.0,15.0,0.4,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
Otimizado RL Experimento 4,25.0,30.0,0.2,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
