geracao,melhor,media,experimento,pop,geracoes,mutacao
19,0.9774436090225562,0.9735690435806433,Otimizado LOG Experimento 4,30,30,0.2
20,0.9774436090225562,0.9712038348393268,Otimizado LOG Experimento 4,30,30,0.2
21,0.9774436090225562,0.9713798577155986,Otimizado LOG Experimento 4,30,30,0.2
22,0.9774436090225562,0.9721345360658968,Otimizado LOG Experimento 4,30,30,0.2
23,0.9774436090225562,0.9724087240827114,Otimizado LOG Experimento 4,30,30,0.2
24,0.9774436090225562,0.9714304445608095,Otimizado LOG Experimento 4,30,30,0.2
25,0.9774436090225562,0.9743237219309416,Otimizado LOG Experimento 4,30,30,0.2
26,0.9774436090225562,0.9712544216845376,Otimizado LOG Experimento 4,30,30,0.2
27,0.9774436090225562,0.9749023774049681,Otimizado LOG Experimento 4,30,30,0.2
28,0.9774436090225562,0.9712514131346587,Otimizado LOG Experimento 4,30,30,0.2
29,0.9774436090225562,0.9731158241376779,Otimizado LOG Experimento 4,30,30,0.2
