geracao,melhor,media,taxa_mutacao
0,0.9479114452798664,0.9272709811624701,0.2
1,0.9479114452798664,0.9328138053466999,0.2
2,0.9479114452798664,0.9377278119701504,0.2
3,0.9479114452798664,0.9408922305764411,0.2
4,0.9479114452798664,0.9441381927039825,0.2
5,0.9479114452798664,0.9435244360902255,0.2
6,0.9479114452798664,0.9391275816122586,0.2
7,0.9479114452798664,0.9443969152839908,0.2
8,0.9479114452798664,0.9435244360902256,0.2
9,0.9479114452798664,0.9406239557226401,0.2
10,0.9479114452798664,0.9421195179683627,0.2
11,0.9479114452798664,0.9408873079322779,0.2
12,0.9479114452798664,0.9383464912280702,0.2
13,0.9479114452798664,0.9362221786005097,0.2
14,0.9479114452798664,0.9408873079322781,0.2
15,0.9479114452798664,0.9386052138080787,0.2
16,0.9479114452798664,0.94000990609435,0.2
17,0.9479114452798664,0.9403600174839349,0.2
18,0.9479114452798664,0.937362932648076,0.2
19,0.9479114452798664,0.9400049834501868,0.2
