geracao,melhor,media,taxa_mutacao
0,0.9722438449063836,0.7465548808311767,0.1
1,0.9722438449063836,0.9574143781428145,0.1
2,0.9722438449063836,0.9343327684710786,0.1
3,0.9722438449063836,0.936323683258046,0.1
4,0.9722438449063836,0.9323302870527277,0.1
5,0.9722438449063836,0.9339020099267777,0.1
6,0.9774436090225562,0.972763821318001,0.1
7,0.9774436090225562,0.9706556833259619,0.1
8,0.9774436090225562,0.9390039615166949,0.1
9,0.9774436090225562,0.972735588972431,0.1
10,0.9774436090225562,0.9774436090225562,0.1
11,0.9774436090225562,0.9228439097017642,0.1
12,0.9774436090225562,0.9774436090225562,0.1
13,0.9774436090225562,0.9744903926482872,0.1
14,0.9774436090225562,0.9298723775731462,0.1
15,0.9774436090225562,0.865575883556998,0.1
16,0.9774436090225562,0.9482633301694421,0.1
17,0.9774436090225562,0.9364815036867267,0.1
18,0.9774436090225562,0.940483494550984,0.1
19,0.9774436090225562,0.974921151192588,0.1
