algoritmo,versao,accuracy,precision,recall,f1
regressao_linear,Original,0.9649122807017544,1.0,0.9047619047619048,0.95
regressao_linear,Otimizado (GA),0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233
regressao_logistica,Original,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747
regressao_logistica,Otimizado (GA),0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156
random_forest,Original,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
random_forest,Otimizado (GA),0.9649122807017544,1.0,0.9047619047619048,0.95
